symbol,name,country,indices,industries,symbols,metadata,isins,akas,wiki_name
GD,General Dynamics Corporation,United States,S&P 100;S&P 500,Aerospace;Defense,"[{'yahoo': 'GD', 'google': 'NYSE:GD', 'currency': 'USD'}, {'yahoo': '0IUC.L', 'google': 'LON:0IUC', 'currency': 'GBP'}, {'yahoo': 'GDX.F', 'google': 'FRA:GDX', 'currency': 'EUR'}]","{'founded': 1899, 'employees': 104000}",[],[],General Dynamics Corporation
GE,General Electric Company,United States,CAC 40;S&P 100;S&P 500,,"[{'yahoo': 'GEC.F', 'google': 'FRA:GEC', 'currency': 'EUR'}, {'yahoo': 'GE', 'google': 'NYSE:GE', 'currency': 'USD'}, {'yahoo': 'GCP.F', 'google': 'FRA:GCP', 'currency': 'EUR'}, {'yahoo': 'GEC.L', 'google': 'LON:GEC', 'currency': 'GBP'}, {'yahoo': '49P.F', 'google': 'FRA:49P', 'currency': 'EUR'}]","{'founded': 1892, 'employees': 205000}","['FR0010220475', 'US3696041033']",[],
GILD,Gilead Sciences Inc.,United States,NASDAQ 100;S&P 100;S&P 500,Biotechnology & Medical Research;Pharmaceuticals & Medical Research;Healthcare,"[{'yahoo': 'GIS.F', 'google': 'FRA:GIS', 'currency': 'EUR'}, {'yahoo': 'GILD', 'google': 'NASDAQ:GILD', 'currency': 'USD'}]","{'founded': 1987, 'employees': 11800}",[],[],
GM,General Motors Company,United States,S&P 100;S&P 500,Telecommunications Services;Discount Stores;Consumer Non-Cyclicals;Retailers;Integrated Telecommunications Services;Food & Tobacco;Food & Beverages;Food Processing;Diversified Retail;Consumer Cyclicals,"[{'yahoo': '8GM.F', 'google': 'FRA:8GM', 'currency': 'EUR'}, {'yahoo': 'GM', 'google': 'NYSE:GM', 'currency': 'USD'}, {'yahoo': '0R0E.L', 'google': 'LON:0R0E', 'currency': 'GBP'}]","{'founded': 1908, 'employees': 155000}",['US37045V1008'],[],
GOOGL,Alphabet Inc.,United States,NASDAQ 100;S&P 100;S&P 500,Technology;Software & IT Services;Internet Services,"[{'yahoo': 'ABEC.F', 'google': 'FRA:ABEC', 'currency': 'EUR'}, {'yahoo': 'GOOGL', 'google': 'NASDAQ:GOOGL', 'currency': 'USD'}, {'yahoo': 'ABEA.F', 'google': 'FRA:ABEA', 'currency': 'EUR'}, {'yahoo': 'GOOG', 'google': 'NASDAQ:GOOG', 'currency': 'USD'}]","{'founded': 2015, 'employees': 135301}","['US02079K1079', 'US02079K3059']",[],
GS,The Goldman Sachs Group Inc.,United States,DOW JONES;S&P 100;S&P 500,Banking & Investment Services;Investment Banking & Investment Services;Financials;Investment Banking & Brokerage Services,"[{'yahoo': 'GOS.F', 'google': 'FRA:GOS', 'currency': 'EUR'}, {'yahoo': 'GS-PK', 'google': 'NYSE:GS', 'currency': 'USD'}, {'yahoo': 'GS', 'google': 'NYSE:GS', 'currency': 'USD'}, {'yahoo': 'GOS0.F', 'google': 'FRA:GOS0', 'currency': 'EUR'}]","{'founded': 1869, 'employees': 40500}",['US38141G1040'],[],
HD,The Home Depot Inc.,United States,DOW JONES;S&P 100;S&P 500,Retailers;Specialty Retailers;Home Improvement Products & Services Retailers;Consumer Cyclicals,"[{'yahoo': 'HDI.F', 'google': 'FRA:HDI', 'currency': 'EUR'}, {'yahoo': 'HD', 'google': 'NYSE:HD', 'currency': 'USD'}, {'yahoo': 'HDI0.F', 'google': 'FRA:HDI0', 'currency': 'EUR'}]","{'founded': 1978, 'employees': 400000}",[],[],
HON,Honeywell International Inc.,United States,DOW JONES;NASDAQ 100;S&P 100;S&P 500,Industrials;Industrial Conglomerates,"[{'yahoo': 'ALD.F', 'google': 'FRA:ALD', 'currency': 'EUR'}, {'yahoo': 'HON', 'google': 'NASDAQ:HON', 'currency': 'USD'}, {'yahoo': 'HON.L', 'google': 'LON:HON', 'currency': 'GBP'}]","{'founded': 1906, 'employees': 103000}",[],[],
IBM,International Business Machines Corporation,United States,DOW JONES;S&P 100;S&P 500,Technology;Software & IT Services;IT Services & Consulting,"[{'yahoo': 'IBM.F', 'google': 'FRA:IBM', 'currency': 'EUR'}, {'yahoo': 'IBM', 'google': 'NYSE:IBM', 'currency': 'USD'}, {'yahoo': 'IBM.L', 'google': 'LON:IBM', 'currency': 'GBP'}, {'yahoo': 'IBM0.F', 'google': 'FRA:IBM0', 'currency': 'EUR'}]","{'founded': 1911, 'employees': 345900}",['US4592001014'],[],
IDXX,IDEXX Laboratories Inc.,United States,NASDAQ 100;S&P 500,"Medical Equipment, Supplies & Distribution;Healthcare;Healthcare Services;Healthcare Equipment & Supplies","[{'yahoo': 'IX1.F', 'google': 'FRA:IX1', 'currency': 'EUR'}, {'yahoo': 'IDXX', 'google': 'NASDAQ:IDXX', 'currency': 'USD'}, {'yahoo': '0J8P.L', 'google': 'LON:0J8P', 'currency': 'GBP'}]","{'founded': 1983, 'employees': 9200}",[],[],
ILMN,Illumina Inc.,United States,NASDAQ 100;S&P 500,Healthcare;Advanced Medical Equipment & Technology;Healthcare Services;Healthcare Equipment & Supplies,"[{'yahoo': 'ILU.F', 'google': 'FRA:ILU', 'currency': 'EUR'}, {'yahoo': 'ILMN', 'google': 'NASDAQ:ILMN', 'currency': 'USD'}, {'yahoo': '0J8Z.L', 'google': 'LON:0J8Z', 'currency': 'GBP'}]","{'founded': 1998, 'employees': 7300}",[],[],
INTC,Intel Corporation,United States,DOW JONES;NASDAQ 100;S&P 100;S&P 500,Technology;Technology Equipment;Semiconductors & Semiconductor Equipment;Semiconductors,"[{'yahoo': 'INL.F', 'google': 'FRA:INL', 'currency': 'EUR'}, {'yahoo': 'INTC', 'google': 'NASDAQ:INTC', 'currency': 'USD'}]","{'founded': 1968, 'employees': 110600}",[],[],
INTU,Intuit Inc.,United States,NASDAQ 100;S&P 500,Software;Technology;Software & IT Services,"[{'yahoo': 'ITU.F', 'google': 'FRA:ITU', 'currency': 'EUR'}, {'yahoo': 'INTU', 'google': 'NASDAQ:INTU', 'currency': 'USD'}, {'yahoo': '0JCT.L', 'google': 'LON:0JCT', 'currency': 'GBP'}]","{'founded': 1983, 'employees': 10600}",[],[],
ISRG,Intuitive Surgical Inc.,United States,NASDAQ 100;S&P 500,Healthcare;Advanced Medical Equipment & Technology;Healthcare Services;Healthcare Equipment & Supplies,"[{'yahoo': 'IUI1.F', 'google': 'FRA:IUI1', 'currency': 'EUR'}, {'yahoo': 'ISRG', 'google': 'NASDAQ:ISRG', 'currency': 'USD'}, {'yahoo': '0R29.L', 'google': 'LON:0R29', 'currency': 'GBP'}]","{'founded': 1995, 'employees': 5527}",[],[],
JD,JD.com Inc.,China,NASDAQ 100,Technology;Software & IT Services;Internet Services,"[{'yahoo': '013A.F', 'google': 'FRA:013A', 'currency': 'EUR'}, {'yahoo': 'JD', 'google': 'NASDAQ:JD', 'currency': 'USD'}, {'yahoo': 'JDCMF', 'google': 'OTCMKTS:JDCMF', 'currency': 'USD'}, {'yahoo': '013C.F', 'google': 'FRA:013C', 'currency': 'EUR'}]","{'founded': '', 'employees': 310000}",[],[],
JNJ,Johnson & Johnson,United States,DOW JONES;S&P 100;S&P 500,Pharmaceuticals;Pharmaceuticals & Medical Research;Healthcare,"[{'yahoo': 'JNJ.F', 'google': 'FRA:JNJ', 'currency': 'EUR'}, {'yahoo': 'JNJ', 'google': 'NYSE:JNJ', 'currency': 'USD'}]","{'founded': 1886, 'employees': 132200}",['US4781601046'],[],
JPM,JPMorgan Chase & Co.,United States,DOW JONES;S&P 100;S&P 500,Banking & Investment Services;Banking Services;Financials;Banks,"[{'yahoo': 'CMC.F', 'google': 'FRA:CMC', 'currency': 'EUR'}, {'yahoo': 'JPM', 'google': 'NYSE:JPM', 'currency': 'USD'}]","{'founded': 2000, 'employees': 255351}",['US46625H1005'],[],
KDP,Keurig Dr Pepper Inc.,United States,NASDAQ 100;S&P 500,Beverage,"[{'yahoo': 'DP5.F', 'google': 'FRA:DP5', 'currency': 'EUR'}, {'yahoo': 'KDP', 'google': 'NASDAQ:KDP', 'currency': 'USD'}, {'yahoo': '0Z62.L', 'google': 'LON:0Z62', 'currency': 'GBP'}]","{'founded': 1981, 'employees': 25500}",['US49271VAP58'],[],Keurig Dr Pepper Inc.
KHC,The Kraft Heinz Company,United States,NASDAQ 100;S&P 100;S&P 500,Food & Beverages;Consumer Non-Cyclicals;Food Processing;Food & Tobacco,"[{'yahoo': 'KHNZ.F', 'google': 'FRA:KHNZ', 'currency': 'EUR'}, {'yahoo': 'KHC', 'google': 'NASDAQ:KHC', 'currency': 'USD'}, {'yahoo': '0JRV.L', 'google': 'LON:0JRV', 'currency': 'GBP'}]","{'founded': 2015, 'employees': 38757}",[],[],
KLAC,KLA-Tencor Corporation,United States,NASDAQ 100;S&P 500,Semiconductor Equipment & Testing;Technology;Technology Equipment;Semiconductors & Semiconductor Equipment,"[{'yahoo': 'KLA.F', 'google': 'FRA:KLA', 'currency': 'EUR'}, {'yahoo': 'KLAC', 'google': 'NASDAQ:KLAC', 'currency': 'USD'}, {'yahoo': '0JPO.L', 'google': 'LON:0JPO', 'currency': 'GBP'}]","{'founded': 1997, 'employees': 10600}",[],[],
KO,The Coca-Cola Company,United States,DOW JONES;S&P 100;S&P 500,Food & Beverages;Consumer Non-Cyclicals;Beverages;Non-Alcoholic Beverages,"[{'yahoo': 'CCC3.F', 'google': 'FRA:CCC3', 'currency': 'EUR'}, {'yahoo': 'KO', 'google': 'OTCMKTS:KO', 'currency': 'USD'}]","{'founded': 1892, 'employees': 86200}",['US1912161007'],[],
LCID,Lucid Motors,United States,NASDAQ 100,Automobiles,"[{'yahoo': 'LCID', 'google': 'NASDAQ:LCID', 'currency': 'USD'}]","{'founded': 2007, 'employees': 3900}",['US5494981039'],"['Lucid Group, Inc.']",Lucid Motors
LIN,Linde PLC,United Kingdom,DAX;EURO STOXX 50;S&P 100;S&P 500,Commodity Chemicals;Basic Materials;Chemicals,"[{'yahoo': 'LIN.F', 'google': 'FRA:LIN', 'currency': 'EUR'}, {'yahoo': 'LIN', 'google': 'NYSE:LIN', 'currency': 'USD'}]","{'founded': 1879, 'employees': 74207}",['IE00BZ12WP82'],[],
LLY,Eli Lilly and Company,United States,S&P 100;S&P 500,Pharmaceuticals;Pharmaceuticals & Medical Research;Healthcare,"[{'yahoo': 'LLY.F', 'google': 'FRA:LLY', 'currency': 'EUR'}, {'yahoo': 'LLY', 'google': 'NYSE:LLY', 'currency': 'USD'}, {'yahoo': '0Q1G.L', 'google': 'LON:0Q1G', 'currency': 'GBP'}]","{'founded': 1876, 'employees': 33625}",['US5324571083'],[],
LMT,Lockheed Martin Corporation,United States,S&P 100;S&P 500,Advanced Technologies;Aerospace;Defense,"[{'yahoo': 'LMT', 'google': 'NYSE:LMT', 'currency': 'USD'}, {'yahoo': 'LOM.F', 'google': 'FRA:LOM', 'currency': 'EUR'}, {'yahoo': '0R3E.L', 'google': 'LON:0R3E', 'currency': 'GBP'}]","{'founded': 1995, 'employees': 110000}",[],[],Lockheed Martin Corporation
LOW,Lowe's Companies Inc.,United States,S&P 100;S&P 500,Retailers;Specialty Retailers;Home Improvement Products & Services Retailers;Consumer Cyclicals,"[{'yahoo': 'LWE.F', 'google': 'FRA:LWE', 'currency': 'EUR'}, {'yahoo': 'LOW', 'google': 'NYSE:LOW', 'currency': 'USD'}, {'yahoo': '0JVQ.L', 'google': 'LON:0JVQ', 'currency': 'GBP'}]","{'founded': 1921, 'employees': 300000}",['US5486611073'],[],
LRCX,Lam Research Corporation,United States,NASDAQ 100;S&P 500,Semiconductor Equipment & Testing;Technology;Technology Equipment;Semiconductors & Semiconductor Equipment,"[{'yahoo': 'LAR.F', 'google': 'FRA:LAR', 'currency': 'EUR'}, {'yahoo': 'LRCX', 'google': 'NASDAQ:LRCX', 'currency': 'USD'}, {'yahoo': '0JT5.L', 'google': 'LON:0JT5', 'currency': 'GBP'}]","{'founded': 1980, 'employees': 10700}",[],[],
LULU,lululemon athletica inc.,Canada,NASDAQ 100,Retail,"[{'yahoo': 'LULU', 'google': 'NASDAQ:LULU', 'currency': 'USD'}, {'yahoo': '33L.F', 'google': 'FRA:33L', 'currency': 'EUR'}, {'yahoo': '0JVT.L', 'google': 'LON:0JVT', 'currency': 'GBP'}]","{'founded': 1998, 'employees': 19000}",['US5500211090'],[],lululemon athletica inc.
MA,Mastercard Inc.,United States,S&P 100;S&P 500,Technology;Software & IT Services;Internet Services,"[{'yahoo': 'M4I.F', 'google': 'FRA:M4I', 'currency': 'EUR'}, {'yahoo': 'MA', 'google': 'NYSE:MA', 'currency': 'USD'}, {'yahoo': 'M4I0.F', 'google': 'FRA:M4I0', 'currency': 'EUR'}]","{'founded': 1966, 'employees': 21000}",[],[],
MAR,Marriott International Inc.,United States,NASDAQ 100;S&P 500,"Hotels & Entertainment Services;Cyclical Consumer Services;Hotels, Motels & Cruise Lines;Consumer Cyclicals","[{'yahoo': 'MAQ.F', 'google': 'FRA:MAQ', 'currency': 'EUR'}, {'yahoo': 'MAR', 'google': 'NASDAQ:MAR', 'currency': 'USD'}, {'yahoo': '0JYW.L', 'google': 'LON:0JYW', 'currency': 'GBP'}, {'yahoo': '0P0000KQL0', 'google': 'OTCMKTS:0P0000KQL0', 'currency': 'USD'}, {'yahoo': '0P0001I1JH', 'google': 'OTCMKTS:0P0001I1JH', 'currency': 'USD'}]","{'founded': 1927, 'employees': 121000}",[],[],
MCD,McDonald's Corporation,United States,DOW JONES;S&P 100;S&P 500,Hotels & Entertainment Services;Restaurants & Bars;Cyclical Consumer Services;Consumer Cyclicals,"[{'yahoo': 'MDO.F', 'google': 'FRA:MDO', 'currency': 'EUR'}, {'yahoo': 'MCD', 'google': 'NYSE:MCD', 'currency': 'USD'}, {'yahoo': 'MDO0.F', 'google': 'FRA:MDO0', 'currency': 'EUR'}]","{'founded': 1940, 'employees': 210000}",['US5801351017'],[],
MCHP,Microchip Technology Inc.,United States,NASDAQ 100;S&P 500,Technology;Technology Equipment;Semiconductors & Semiconductor Equipment;Semiconductors,"[{'yahoo': 'MCP.F', 'google': 'FRA:MCP', 'currency': 'EUR'}, {'yahoo': 'MCHP', 'google': 'NASDAQ:MCHP', 'currency': 'USD'}, {'yahoo': '0K19.L', 'google': 'LON:0K19', 'currency': 'GBP'}]","{'founded': 1989, 'employees': 18286}",[],[],
MDLZ,Mondelez International Inc.,United States,NASDAQ 100;S&P 100;S&P 500,Food & Beverages;Consumer Non-Cyclicals;Food Processing;Food & Tobacco,"[{'yahoo': 'KTF.F', 'google': 'FRA:KTF', 'currency': 'EUR'}, {'yahoo': 'MDLZ', 'google': 'NASDAQ:MDLZ', 'currency': 'USD'}, {'yahoo': '0R0G.L', 'google': 'LON:0R0G', 'currency': 'GBP'}]","{'founded': 1923, 'employees': 80000}",[],[],
MDT,Medtronic PLC,Ireland,S&P 100;S&P 500,"Medical Equipment, Supplies & Distribution;Healthcare;Healthcare Services;Healthcare Equipment & Supplies","[{'yahoo': '2M6.F', 'google': 'FRA:2M6', 'currency': 'EUR'}, {'yahoo': 'MDT', 'google': 'NYSE:MDT', 'currency': 'USD'}, {'yahoo': '0Y6X.L', 'google': 'LON:0Y6X', 'currency': 'GBP'}]","{'founded': 1949, 'employees': 104950}",['IE00BTN1Y115'],[],
MELI,"Mercado Libre, Inc.",Argentina,NASDAQ 100,,"[{'yahoo': 'MELI', 'google': 'NASDAQ:MELI', 'currency': 'USD'}]","{'founded': 1999, 'employees': 15500}",[],[],"Mercado Libre, Inc."
MET,MetLife Inc.,United States,S&P 100;S&P 500,Insurance;Financials;Life & Health Insurance,"[{'yahoo': 'MWZ.F', 'google': 'FRA:MWZ', 'currency': 'EUR'}, {'yahoo': 'MET', 'google': 'NYSE:MET', 'currency': 'USD'}, {'yahoo': '0K0X.L', 'google': 'LON:0K0X', 'currency': 'GBP'}]","{'founded': 1868, 'employees': 49000}",[],[],
META,"Meta Platforms, Inc.",United States,NASDAQ 100;S&P 100;S&P 500,Social media;Social network advertising;Consumer electronics;Virtual reality,"[{'yahoo': 'META', 'google': 'NASDAQ:META', 'currency': 'USD'}, {'yahoo': 'FB2A.F', 'google': 'FRA:FB2A', 'currency': 'EUR'}]","{'founded': 2004, 'employees': 83553}",[],[],"Meta Platforms, Inc."
MMM,3M Company,United States,DOW JONES;S&P 100;S&P 500,Industrials;Industrial Conglomerates,"[{'yahoo': 'MMM.F', 'google': 'FRA:MMM', 'currency': 'EUR'}, {'yahoo': 'MMM', 'google': 'NYSE:MMM', 'currency': 'USD'}]","{'founded': 1902, 'employees': 94987}",['US88579Y1010'],[],
MNST,Monster Beverage Corporation,United States,NASDAQ 100;S&P 500,Food & Beverages;Consumer Non-Cyclicals;Beverages;Non-Alcoholic Beverages,"[{'yahoo': 'MOB.F', 'google': 'FRA:MOB', 'currency': 'EUR'}, {'yahoo': 'MNST', 'google': 'NASDAQ:MNST', 'currency': 'USD'}, {'yahoo': '0K34.L', 'google': 'LON:0K34', 'currency': 'GBP'}]","{'founded': 1935, 'employees': 3666}",[],[],
MO,Altria Group Inc.,United States,S&P 100;S&P 500,Food & Beverages;Consumer Non-Cyclicals;Tobacco;Food & Tobacco,"[{'yahoo': 'PHM7.F', 'google': 'FRA:PHM7', 'currency': 'EUR'}, {'yahoo': 'MO', 'google': 'NYSE:MO', 'currency': 'USD'}]","{'founded': 1985, 'employees': 8300}",[],[],
MRK,Merck & Co. Inc.,United States,DOW JONES;S&P 100;S&P 500,Pharmaceuticals;Pharmaceuticals & Medical Research;Healthcare,"[{'yahoo': 'MRK', 'google': 'NYSE:MRK', 'currency': 'USD'}]","{'founded': 1668, 'employees': 74000}",[],[],
MRNA,"Moderna, Inc.",United States,NASDAQ 100;S&P 500,Biotechnology,"[{'yahoo': 'MRNA', 'google': 'NASDAQ:MRNA', 'currency': 'USD'}, {'yahoo': '0QF.F', 'google': 'FRA:0QF', 'currency': 'EUR'}]","{'founded': 2010, 'employees': 1500}",['US60770K1079'],[],"Moderna, Inc."
MRVL,Marvell Technology Group Ltd.,United States,NASDAQ 100,Semiconductor,"[{'yahoo': 'MVL.F', 'google': 'FRA:MVL', 'currency': 'EUR'}, {'yahoo': 'MRVL', 'google': 'NASDAQ:MRVL', 'currency': 'USD'}, {'yahoo': '0UBI.L', 'google': 'LON:0UBI', 'currency': 'GBP'}, {'yahoo': '9MW.F', 'google': 'FRA:9MW', 'currency': 'EUR'}]","{'founded': 1995, 'employees': 5200}",['US5738741041'],[],Marvell Technology Group Ltd.
MS,Morgan Stanley,United States,S&P 100;S&P 500,Banking & Investment Services;Investment Banking & Investment Services;Financials;Investment Banking & Brokerage Services,"[{'yahoo': 'DWD.F', 'google': 'FRA:DWD', 'currency': 'EUR'}, {'yahoo': 'MS', 'google': 'NYSE:MS', 'currency': 'USD'}, {'yahoo': 'MNSLV', 'google': 'OTCMKTS:MNSLV', 'currency': 'USD'}]","{'founded': 1924, 'employees': 70431}",[],[],
MSFT,Microsoft Corporation,United States,DOW JONES;NASDAQ 100;S&P 100;S&P 500,Software;Technology;Software & IT Services,"[{'yahoo': 'MSF.F', 'google': 'FRA:MSF', 'currency': 'EUR'}, {'yahoo': 'MSFT', 'google': 'NASDAQ:MSFT', 'currency': 'USD'}, {'yahoo': 'MSF0.F', 'google': 'FRA:MSF0', 'currency': 'EUR'}]","{'founded': 1975, 'employees': 166475}",['US5949181045'],[],
MTCH,"Match Group, Inc.",United States,NASDAQ 100;S&P 500,Online dating service,"[{'yahoo': 'MTCH', 'google': 'NASDAQ:MTCH', 'currency': 'USD'}, {'yahoo': '4MGN.F', 'google': 'FRA:4MGN', 'currency': 'EUR'}, {'yahoo': '0JZ7.L', 'google': 'LON:0JZ7', 'currency': 'GBP'}]","{'founded': '', 'employees': 1700}",['US57667L1070'],[],"Match Group, Inc."
MU,Micron Technology Inc.,United States,NASDAQ 100;S&P 500,Technology;Technology Equipment;Semiconductors & Semiconductor Equipment;Semiconductors,"[{'yahoo': 'MTE.F', 'google': 'FRA:MTE', 'currency': 'EUR'}, {'yahoo': 'MU', 'google': 'NASDAQ:MU', 'currency': 'USD'}, {'yahoo': '0R2T.L', 'google': 'LON:0R2T', 'currency': 'GBP'}]","{'founded': 1978, 'employees': 40000}",[],[],
NEE,NextEra Energy Inc.,United States,S&P 100;S&P 500,Electric Utilities;Electric Utilities & IPPs;Utilities,"[{'yahoo': 'FP3.F', 'google': 'FRA:FP3', 'currency': 'EUR'}, {'yahoo': 'NEE', 'google': 'NYSE:NEE', 'currency': 'USD'}, {'yahoo': '0K80.L', 'google': 'LON:0K80', 'currency': 'GBP'}, {'yahoo': 'NEEXU', 'google': 'OTCMKTS:NEEXU', 'currency': 'USD'}]","{'founded': 1984, 'employees': 14800}",[],[],
NFLX,Netflix Inc.,United States,NASDAQ 100;S&P 100;S&P 500,Technology;Software & IT Services;Internet Services,"[{'yahoo': 'NFC.F', 'google': 'FRA:NFC', 'currency': 'EUR'}, {'yahoo': 'NFLX', 'google': 'NASDAQ:NFLX', 'currency': 'USD'}, {'yahoo': 'NFC1.F', 'google': 'FRA:NFC1', 'currency': 'EUR'}]","{'founded': 1997, 'employees': 12135}",[],[],
NKE,"Nike, Inc.",United States,DOW JONES;S&P 100;S&P 500,Apparel;Accessories;Sports equipment,"[{'yahoo': 'NKE.F', 'google': 'FRA:NKE', 'currency': 'EUR'}, {'yahoo': 'NKE', 'google': 'NYSE:NKE', 'currency': 'USD'}]","{'founded': 1964, 'employees': 73300}",['US6541061031'],[],"Nike, Inc."
NTES,NetEase Inc.,China,NASDAQ 100,Technology;Software & IT Services;IT Services & Consulting,"[{'yahoo': 'NEH.F', 'google': 'FRA:NEH', 'currency': 'EUR'}, {'yahoo': 'NTES', 'google': 'NASDAQ:NTES', 'currency': 'USD'}, {'yahoo': 'NETTF', 'google': 'OTCMKTS:NETTF', 'currency': 'USD'}, {'yahoo': '4Y01.F', 'google': 'FRA:4Y01', 'currency': 'EUR'}, {'yahoo': '0K6G.L', 'google': 'LON:0K6G', 'currency': 'GBP'}]","{'founded': 1997, 'employees': 18129}",[],[],
NVDA,NVIDIA Corporation,United States,NASDAQ 100;S&P 100;S&P 500,Technology;Technology Equipment;Semiconductors & Semiconductor Equipment;Semiconductors,"[{'yahoo': 'NVD.F', 'google': 'FRA:NVD', 'currency': 'EUR'}, {'yahoo': 'NVDA', 'google': 'NASDAQ:NVDA', 'currency': 'USD'}, {'yahoo': 'NVDG.F', 'google': 'FRA:NVDG', 'currency': 'EUR'}]","{'founded': 1993, 'employees': 18100}",[],[],
NXPI,NXP Semiconductors N.V.,Netherlands,NASDAQ 100;S&P 500,Technology;Technology Equipment;Semiconductors & Semiconductor Equipment;Semiconductors,"[{'yahoo': 'VNX.F', 'google': 'FRA:VNX', 'currency': 'EUR'}, {'yahoo': 'NXPI', 'google': 'NASDAQ:NXPI', 'currency': 'USD'}, {'yahoo': '0EDE.L', 'google': 'LON:0EDE', 'currency': 'GBP'}]","{'founded': 1953, 'employees': 29000}",[],[],
ODFL,"Old Dominion Freight Line, Inc.",United States,NASDAQ 100;S&P 500,,"[{'yahoo': 'ODFL', 'google': 'NASDAQ:ODFL', 'currency': 'USD'}, {'yahoo': '0A7P.L', 'google': 'LON:0A7P', 'currency': 'GBP'}, {'yahoo': 'ODF.F', 'google': 'FRA:ODF', 'currency': 'EUR'}]","{'founded': 1934, 'employees': 21279}",['US6795801009'],[],"Old Dominion Freight Line, Inc."
OKTA,"Okta, Inc.",United States,NASDAQ 100,Software,"[{'yahoo': '0KB7.L', 'google': 'LON:0KB7', 'currency': 'GBP'}, {'yahoo': '0OK.F', 'google': 'FRA:0OK', 'currency': 'EUR'}, {'yahoo': 'OKTA', 'google': 'NASDAQ:OKTA', 'currency': 'USD'}]","{'founded': 2009, 'employees': 2379}",[],[],"Okta, Inc."
ORCL,Oracle Corporation,United States,S&P 100;S&P 500,Software;Technology;Software & IT Services,"[{'yahoo': 'ORC.F', 'google': 'FRA:ORC', 'currency': 'EUR'}, {'yahoo': 'ORCL', 'google': 'NYSE:ORCL', 'currency': 'USD'}, {'yahoo': 'OCJ.F', 'google': 'FRA:OCJ', 'currency': 'EUR'}, {'yahoo': 'OCLCF', 'google': 'OTCMKTS:OCLCF', 'currency': 'USD'}]","{'founded': 1977, 'employees': 135000}",[],[],
ORLY,O'Reilly Automotive Inc.,United States,NASDAQ 100;S&P 500,"Auto Vehicles, Parts & Service Retailers;Retailers;Specialty Retailers;Consumer Cyclicals","[{'yahoo': 'OM6.F', 'google': 'FRA:OM6', 'currency': 'EUR'}, {'yahoo': 'ORLY', 'google': 'NASDAQ:ORLY', 'currency': 'USD'}, {'yahoo': '0KAB.L', 'google': 'LON:0KAB', 'currency': 'GBP'}]","{'founded': 1957, 'employees': 82484}",[],[],
PANW,"Palo Alto Networks, Inc.",United States,NASDAQ 100,Cybersecurity,"[{'yahoo': 'PANW', 'google': 'NASDAQ:PANW', 'currency': 'USD'}]","{'founded': 2005, 'employees': 11098}",[],[],"Palo Alto Networks, Inc."
PAYX,Paychex Inc.,United States,NASDAQ 100;S&P 500,Industrials;Professional & Commercial Services;Employment Services;Industrial & Commercial Services,"[{'yahoo': 'PCX.F', 'google': 'FRA:PCX', 'currency': 'EUR'}, {'yahoo': 'PAYX', 'google': 'NASDAQ:PAYX', 'currency': 'USD'}, {'yahoo': '0KGE.L', 'google': 'LON:0KGE', 'currency': 'GBP'}]","{'founded': 1971, 'employees': 14300}",[],[],
PCAR,PACCAR Inc,United States,NASDAQ 100;S&P 500,"Industrial Goods;Industrials;Heavy Machinery & Vehicles;Machinery, Equipment & Components","[{'yahoo': 'PAE.F', 'google': 'FRA:PAE', 'currency': 'EUR'}, {'yahoo': 'PCAR', 'google': 'NASDAQ:PCAR', 'currency': 'USD'}, {'yahoo': '0KET.L', 'google': 'LON:0KET', 'currency': 'GBP'}]","{'founded': 1905, 'employees': 27000}",[],[],
PDD,Pinduoduo Inc.,China,NASDAQ 100,Internet,"[{'yahoo': '9PDA.F', 'google': 'FRA:9PDA', 'currency': 'EUR'}, {'yahoo': 'PDD', 'google': 'NASDAQ:PDD', 'currency': 'USD'}]","{'founded': '', 'employees': ''}",[],[],Pinduoduo Inc.
PEP,"PepsiCo, Inc.",United States,NASDAQ 100;S&P 100;S&P 500,Beverages,"[{'yahoo': 'PEP', 'google': 'NASDAQ:PEP', 'currency': 'USD'}, {'yahoo': 'PEP.F', 'google': 'FRA:PEP', 'currency': 'EUR'}]","{'founded': 1898, 'employees': 267000}",[],[],"PepsiCo, Inc."
PFE,Pfizer Inc.,United States,S&P 100;S&P 500,Pharmaceuticals;Pharmaceuticals & Medical Research;Healthcare,"[{'yahoo': 'PFE.F', 'google': 'FRA:PFE', 'currency': 'EUR'}, {'yahoo': 'PFE', 'google': 'NYSE:PFE', 'currency': 'USD'}]","{'founded': 1849, 'employees': 78500}",[],[],
PG,The Procter & Gamble Company,United States,DOW JONES;S&P 100;S&P 500,Consumer Non-Cyclicals;Personal Products;Personal & Household Products & Services,"[{'yahoo': 'PRG.F', 'google': 'FRA:PRG', 'currency': 'EUR'}, {'yahoo': 'PG', 'google': 'NYSE:PG', 'currency': 'USD'}, {'yahoo': '0NOF.L', 'google': 'LON:0NOF', 'currency': 'GBP'}]","{'founded': 1837, 'employees': 99000}",[],[],
PM,Philip Morris International Inc.,Netherlands,S&P 100;S&P 500,Healthcare;Advanced Medical Equipment & Technology;Healthcare Services;Healthcare Equipment & Supplies,"[{'yahoo': '4I1.F', 'google': 'FRA:4I1', 'currency': 'EUR'}, {'yahoo': 'PM', 'google': 'NYSE:PM', 'currency': 'USD'}]","{'founded': 1847, 'employees': 77400}",[],[],
